date,pred_cal,pred_label,risk_score,risk_level,risk_momentum,fatalities,conflict_pressure,market_stress,avg_tone
2024-10-18,0.026785715,0,49.51,High,3.325095238095244,434.0,886.63,4.435578450541148,-0.6460276900890882
2024-10-25,0.026785715,0,50.54,High,2.442761904761902,431.0,955.96,5.090923922183857,-0.7234112655980114
2024-10-28,0.026785715,0,49.87,High,1.9929523809523813,251.0,1066.32,8.75999723362716,-0.5154552470949043
2024-10-31,0.026785715,0,49.97,High,1.6849523809523816,398.0,962.51,3.562272495430826,-0.6321325243288736
2024-11-08,0.02631579,0,49.4,High,0.4066666666666663,288.0,1028.07,5.07181520132329,-0.4415344948070165
2024-11-14,0.026785715,0,50.35,High,0.7002857142857195,443.0,879.71,3.344532479223438,-0.4766352346729682
2024-11-15,0.026785715,0,50.04,High,0.6090476190476224,370.0,842.63,5.319031189992727,-0.4142437866326114
2025-03-11,0.071428575,0,48.43,High,0.5509999999999877,373.0,1533.1,2.721287043303588,-0.8032864935471316
2025-03-25,0.071428575,0,50.01,High,0.4411904761904779,444.0,1162.85,1.8100871095600477,-0.6667966863199207
2025-04-01,0.09090909,0,46.53,High,-1.0474761904761891,307.0,1124.37,1.8449980104760613,-0.7256179173193361
2025-04-03,0.026785715,0,50.77,High,-1.2395238095238028,390.0,1001.75,9.013154286643108,-0.7532899583134618
2025-04-29,0.09090909,0,45.42,High,-2.0554285714285783,66.0,830.77,5.8157587723138064,-0.68158923184638
2025-05-01,0.09090909,0,47.46,High,-3.260285714285722,242.0,1062.04,5.222472123416834,-0.4896586127157884
2025-05-02,0.026785715,0,49.66,High,-3.28233333333332,448.0,1251.37,5.243299833494631,-0.6777945555990762
2025-05-04,0.026785715,0,48.06,High,-2.752523809523815,203.0,1248.09,5.243299833494631,-0.7277518281424734
